record_id,employee_id,employee_name,campus,department,pay_period_end,hours_worked,hourly_rate,calculated_pay,pay_status,submitted_date,approved_date,supervisor_id
TS-002076,EMP-1480,Employee 1770,Campus B,Student Success,2026-06-20,4.81,14.49,69.7,Pending,2026-06-20,2026-06-22,SUP-034
TS-000737,EMP-1536,Employee 1193,Campus D,Student Success,2026-06-03,23.08,14.89,343.66,Rejected,2026-06-05,2026-06-10,SUP-027
TS-000069,EMP-1181,Employee 1587,Campus D,Registrar,2026-03-16,1.81,14.64,26.5,Processing,2026-03-16,2026-03-20,SUP-024
TS-001189,EMP-1703,Employee 1757,Campus D,Admissions,2026-04-13,25.32,16.12,408.16,Approved,2026-04-15,2026-04-16,SUP-015
TS-002273,EMP-1428,Employee 1934,Campus E,Registrar,2026-01-05,33.0,26.98,890.34,Approved,2026-01-06,2026-01-09,SUP-029
TS-002411,EMP-1019,Employee 1854,Campus D,Registrar,2026-01-04,7.42,17.54,130.15,Pending,2026-01-05,2026-01-08,SUP-014
TS-000243,EMP-1584,Employee 1315,Campus D,IT Services,2026-01-31,32.5,14.17,460.52,Approved,2026-01-31,2026-02-02,SUP-014
TS-000572,EMP-1281,Employee 1993,Campus E,Library,2026-06-15,35.94,29.31,1053.4,Pending,2026-06-17,2026-06-21,SUP-037
TS-002111,EMP-1476,Employee 1793,Campus C,Career Services,2026-05-25,14.33,29.68,425.31,Approved,2026-05-26,2026-05-30,SUP-038
TS-001006,EMP-1705,Employee 1502,Campus D,IT Services,2026-02-27,17.93,19.27,345.51,Pending,2026-02-28,2026-03-02,SUP-006
TS-000192,EMP-1425,Employee 1400,Campus D,Facilities,2026-03-30,5.08,16.71,84.89,Approved,2026-03-30,2026-04-03,SUP-008
TS-001275,EMP-1017,Employee 1738,Campus D,Admissions,2026-04-23,24.46,13.8,337.55,Pending,2026-04-23,2026-04-25,SUP-010
TS-001301,EMP-1469,Employee 1023,Campus B,Career Services,2026-03-04,15.56,10.75,167.27,Pending,2026-03-04,2026-03-06,SUP-006
TS-000808,EMP-1589,Employee 1368,Campus A,Library,2026-06-23,24.66,16.35,403.19,Approved,2026-06-26,2026-06-28,SUP-023
TS-000127,EMP-1494,Employee 1248,Campus A,Career Services,2026-02-18,13.23,10.7,141.56,Pending,2026-02-18,2026-02-22,SUP-027
TS-000585,EMP-1506,Employee 1750,Campus E,Admissions,2026-03-08,3.28,14.52,47.63,Pending,2026-03-09,2026-03-14,SUP-023
